467,0 8,09114450284 3,20506775557 14,4678891 0,0456548 0,377069 0,365055 0,378529 S
219,0 8,45044033748 2,7646477847 14,1441311249 0,0458689 0,375535 0,363518 0,376908 N
676,0 7,92963041839 2,66696503065 14,2127618014 0,0458689 0,375535 0,363518 0,376908 S
999,0 7,71340681615 2,84886817141 14,2073847754 0,0458689 0,375535 0,363518 0,376908 S
583,0 7,72060657921 3,462509253 13,9285481908 0,0478969 0,374252 0,362232 0,375467 S
158,0 7,89497234067 2,71215599339 14,0764285691 0,048008 0,374861 0,362849 0,376142 N
877,0 8,41871901098 2,95552676467 13,7858094069 0,0481968 0,373455 0,361449 0,374686 N
974,0 7,89379630416 2,97609306369 13,7737369556 0,0481968 0,373455 0,361449 0,374686 S
378,0 7,1838065518 2,79330352502 13,3843934032 0,0489759 0,37131 0,359071 0,372745 N
639,0 7,09913561816 3,14182185025 13,1785824382 0,0491252 0,369796 0,357545 0,371102 S
261,0 6,64631021966 3,31861007997 13,3087797253 0,049448 0,370623 0,358357 0,371994 N
573,0 7,07602740171 3,19090058346 13,3085927658 0,049448 0,370623 0,358357 0,371994 S
794,0 7,28223880534 3,42854012042 13,203568211 0,049448 0,370623 0,358357 0,371994 S
169,0 7,08597693979 2,59215277915 13,0394378321 0,0503712 0,369149 0,356901 0,370396 N
98,0 7,00631830571 2,84112320488 12,8029702226 0,0510101 0,368531 0,356287 0,369703 N
498,0 6,75117307919 2,90096145089 12,6957022278 0,0528369 0,367707 0,355457 0,368871 N
847,0 6,5822537311 3,48284447016 12,7835045488 0,0528369 0,367707 0,355457 0,368871 S
991,0 7,31316578585 3,18567241139 12,7255836933 0,0528369 0,367707 0,355457 0,368871 S
265,0 2,09885145336 8,50916117491 21,4884834141 0,0531693 0,368387 0,354617 0,363747 S
532,0 2,0 9,26319608054 21,4706731961 0,0531693 0,368387 0,354617 0,363747 S
683,0 2,0 9,07293647087 21,4071796302 0,0531693 0,368387 0,354617 0,363747 S
769,0 9,35112556254 3,45139598843 11,4257839304 0,0538797 0,3618 0,349726 0,361651 S
