270 3 2 0,0824827032117 1,08786 0,000329964 0,000184893 0,000199624 S
271 3 2 0,106860287159 1,08786 0,000329964 0,000184893 0,000199624 S
272 3 2 0,0809683596925 1,08786 0,000329964 0,000184893 0,000199624 S
273 3 2 0,0924095114868 1,08786 0,000329964 0,000184893 0,000199624 S
274 3 2 0,0844102679141 1,08786 0,000329964 0,000184893 0,000199624 S
275 3 2 0,0913515417794 1,08786 0,000329964 0,000184893 0,000199624 S
276 3 2 0,105346596022 1,08786 0,000329964 0,000184893 0,000199624 S
277 3 2 0,0985511573873 1,08786 0,000329964 0,000184893 0,000199624 S
278 3 2 0,106083283978 1,08786 0,000329964 0,000184893 0,000199624 S
279 3 2 0,0891573439754 1,08786 0,000329964 0,000184893 0,000199624 S
280 3 2 0,103497360177 1,08786 0,000329964 0,000184893 0,000199624 S
281 3 2 0,089120643865 1,08786 0,000329964 0,000184893 0,000199624 S
282 3 2 0,0945863508442 1,08786 0,000329964 0,000184893 0,000199624 S
283 3 2 0,101854548143 1,08786 0,000329964 0,000184893 0,000199624 S
284 3 2 0,0818225484839 1,08786 0,000329964 0,000184893 0,000199624 S
285 3 2 0,0824234553327 1,08786 0,000329964 0,000184893 0,000199624 S
286 3 2 0,0892227622302 1,08786 0,000329964 0,000184893 0,000199624 S
287 3 2 0,0884171707184 1,08786 0,000329964 0,000184893 0,000199624 S
288 3 2 0,102152846244 1,08786 0,000329964 0,000184893 0,000199624 S
289 3 2 0,103395018024 1,08786 0,000329964 0,000184893 0,000199624 S
290 3 2 0,0885520046687 1,08786 0,000329964 0,000184893 0,000199624 S
291 3 2 0,112165659421 1,08786 0,000329964 0,000184893 0,000199624 S
292 3 2 0,0916615460711 1,08786 0,000329964 0,000184893 0,000199624 S
293 3 2 0,0870176352768 1,08786 0,000329964 0,000184893 0,000199624 S
294 3 2 0,0774546667701 1,08786 0,000329964 0,000184893 0,000199624 S
295 3 2 0,110573895974 1,08786 0,000329964 0,000184893 0,000199624 S
296 3 2 0,0848982529745 1,08786 0,000329964 0,000184893 0,000199624 S
297 3 2 0,0909868775792 1,08786 0,000329964 0,000184893 0,000199624 S
298 3 2 0,109317965175 1,08786 0,000329964 0,000184893 0,000199624 S
299 3 2 0,107495899085 1,08786 0,000329964 0,000184893 0,000199624 S
300 3 2 0,08511991125 1,08786 0,000329964 0,000184893 0,000199624 S
